k,d,extra,n,N,pass_rate_det,pass_rate_prob,ci_low_prob,ci_high_prob
4,2,2,512,200,0.0,0.0,0.0,0.018846005918320894
4,2,2,1024,200,0.0,0.0,0.0,0.018846005918320894
4,2,2,2048,200,0.0,0.0,0.0,0.018846005918320894
4,2,2,4096,200,0.0,0.0,0.0,0.018846005918320894
4,2,2,8192,200,0.0,0.0,0.0,0.018846005918320894
4,2,4,64,200,0.0,0.0,0.0,0.018846005918320894
4,2,4,128,200,0.0,0.0,0.0,0.018846005918320894
4,2,4,256,200,0.0,0.0,0.0,0.018846005918320894
4,2,4,512,200,0.0,0.0,0.0,0.018846005918320894
4,2,4,1024,200,0.0,0.0,0.0,0.018846005918320894
4,2,4,2048,200,0.0,0.0,0.0,0.018846005918320894
4,2,4,4096,200,0.0,0.0,0.0,0.018846005918320894
4,2,4,8192,200,0.0,0.0,0.0,0.018846005918320894
4,3,1,64,200,0.0,0.0,0.0,0.018846005918320894
4,3,1,128,200,0.0,0.0,0.0,0.018846005918320894
4,3,1,256,200,0.0,0.0,0.0,0.018846005918320894
4,3,1,512,200,0.0,0.0,0.0,0.018846005918320894
4,3,1,1024,200,0.0,0.0,0.0,0.018846005918320894
4,3,1,2048,200,0.0,0.0,0.0,0.018846005918320894
4,3,1,4096,200,0.0,0.0,0.0,0.018846005918320894
4,3,1,8192,200,0.0,0.0,0.0,0.018846005918320894
4,3,2,64,200,0.0,0.0,0.0,0.018846005918320894
4,3,2,128,200,0.0,0.0,0.0,0.018846005918320894
4,3,2,256,200,0.0,0.0,0.0,0.018846005918320894
4,3,2,512,200,0.0,0.0,0.0,0.018846005918320894
4,3,2,1024,200,0.0,0.0,0.0,0.018846005918320894
4,3,2,2048,200,0.0,0.0,0.0,0.018846005918320894
4,3,2,4096,200,0.0,0.0,0.0,0.018846005918320894
4,3,2,8192,200,0.0,0.0,0.0,0.018846005918320894
4,3,4,64,200,0.0,0.0,0.0,0.018846005918320894
4,3,4,128,200,0.0,0.0,0.0,0.018846005918320894
4,3,4,256,200,0.0,0.0,0.0,0.018846005918320894
4,3,4,512,200,0.0,0.0,0.0,0.018846005918320894
4,3,4,1024,200,0.0,0.0,0.0,0.018846005918320894
4,3,4,2048,200,0.0,0.0,0.0,0.018846005918320894
4,3,4,4096,200,0.0,0.0,0.0,0.018846005918320894
4,3,4,8192,200,0.0,0.0,0.0,0.018846005918320894
