k,d,extra,n,trial,pass_det,pass_prob
2,1,1,64,110,0,0
2,1,1,64,111,0,0
2,1,1,64,112,0,0
2,1,1,64,113,0,0
2,1,1,64,114,0,0
2,1,1,64,115,0,0
2,1,1,64,116,0,0
2,1,1,64,117,0,0
2,1,1,64,118,0,0
2,1,1,64,119,0,0
2,1,1,64,120,0,0
2,1,1,64,121,0,0
2,1,1,64,122,0,0
2,1,1,64,123,0,0
2,1,1,64,124,0,0
2,1,1,64,125,0,0
2,1,1,64,126,0,0
2,1,1,64,127,0,0
2,1,1,64,128,0,0
2,1,1,64,129,0,0
2,1,1,64,130,0,0
2,1,1,64,131,0,0
2,1,1,64,132,0,0
2,1,1,64,133,0,0
2,1,1,64,134,0,0
2,1,1,64,135,0,0
2,1,1,64,136,0,0
2,1,1,64,137,0,0
2,1,1,64,138,0,0
2,1,1,64,139,0,0
2,1,1,64,140,0,0
2,1,1,64,141,0,0
2,1,1,64,142,0,0
2,1,1,64,143,0,0
2,1,1,64,144,0,0
2,1,1,64,145,0,0
2,1,1,64,146,0,0
2,1,1,64,147,0,0
2,1,1,64,148,0,0
2,1,1,64,149,0,0
2,1,1,64,150,0,0
2,1,1,64,151,0,0
2,1,1,64,152,0,0
2,1,1,64,153,0,0
2,1,1,64,154,0,0
2,1,1,64,155,0,0
2,1,1,64,156,0,0
2,1,1,64,157,0,0
2,1,1,64,158,0,0
2,1,1,64,159,0,0
2,1,1,64,160,0,0
2,1,1,64,161,0,0
2,1,1,64,162,0,0
2,1,1,64,163,0,0
2,1,1,64,164,0,0
2,1,1,64,165,0,0
2,1,1,64,166,0,0
2,1,1,64,167,0,0
2,1,1,64,168,0,0
2,1,1,64,169,0,0
2,1,1,64,170,0,0
2,1,1,64,171,0,0
2,1,1,64,172,0,0
2,1,1,64,173,0,0
2,1,1,64,174,0,0
2,1,1,64,175,0,0
2,1,1,64,176,0,0
2,1,1,64,177,0,0
2,1,1,64,178,0,0
2,1,1,64,179,0,0
2,1,1,64,180,0,0
2,1,1,64,181,0,0
2,1,1,64,182,0,0
2,1,1,64,183,0,0
2,1,1,64,184,0,0
2,1,1,64,185,0,0
